Date,Open,High,Low,Close,Share Volume
29 Nov 1996,606.87,606.87,606.87,606.87,0
02 Dec 1996,606.05,606.05,606.05,606.05,0
03 Dec 1996,605.24,605.24,605.24,605.24,0
04 Dec 1996,601.78,601.78,601.78,601.78,0
05 Dec 1996,599.96,599.96,599.96,599.96,0
06 Dec 1996,598.54,598.54,598.54,598.54,0
09 Dec 1996,597.55,597.55,597.55,597.55,0
10 Dec 1996,594.37,594.37,594.37,594.37,0
11 Dec 1996,592.67,592.67,592.67,592.67,0
12 Dec 1996,591.77,591.77,591.77,591.77,0
13 Dec 1996,591.49,591.49,591.49,591.49,0
16 Dec 1996,591.29,591.29,591.29,591.29,0
17 Dec 1996,589.98,589.98,589.98,589.98,0
18 Dec 1996,591.22,591.22,591.22,591.22,0
19 Dec 1996,592.35,592.35,592.35,592.35,0
20 Dec 1996,597.01,597.01,597.01,597.01,0
23 Dec 1996,595.84,595.84,595.84,595.84,0
27 Dec 1996,599.24,599.24,599.24,599.24,0
30 Dec 1996,602.63,602.63,602.63,602.63,0
31 Dec 1996,602.97,602.97,602.97,602.97,0
02 Jan 1997,606.73,606.73,606.73,606.73,0
03 Jan 1997,607.09,607.09,607.09,607.09,0
06 Jan 1997,608.05,608.05,608.05,608.05,0
07 Jan 1997,611.02,611.02,611.02,611.02,0
08 Jan 1997,609.53,609.53,609.53,609.53,0
09 Jan 1997,613.14,613.14,613.14,613.14,0
10 Jan 1997,617.52,617.52,617.52,617.52,0
13 Jan 1997,617.94,617.94,617.94,617.94,0
15 Jan 1997,622.44,622.44,622.44,622.44,0
16 Jan 1997,625.9,625.9,625.9,625.9,0
17 Jan 1997,626.91,626.91,626.91,626.91,0
20 Jan 1997,628.05,628.05,628.05,628.05,0
21 Jan 1997,628.94,628.94,628.94,628.94,0
22 Jan 1997,630.35,630.35,630.35,630.35,0
24 Jan 1997,632.29,632.29,632.29,632.29,0
27 Jan 1997,633.55,633.55,633.55,633.55,0
28 Jan 1997,632.8,632.8,632.8,632.8,0
29 Jan 1997,629.3,629.3,629.3,629.3,0
30 Jan 1997,626.63,626.63,626.63,626.63,0
31 Jan 1997,621.63,621.63,621.63,621.63,0
03 Feb 1997,621.93,621.93,621.93,621.93,0
05 Feb 1997,620.93,620.93,620.93,620.93,0
06 Feb 1997,622.48,622.48,622.48,622.48,0
07 Feb 1997,621.9,621.9,621.9,621.9,0
10 Feb 1997,621.89,621.89,621.89,621.89,0
11 Feb 1997,620.86,620.86,620.86,620.86,0
12 Feb 1997,618.25,618.25,618.25,618.25,0
13 Feb 1997,619.07,619.07,619.07,619.07,0
14 Feb 1997,617.53,617.53,617.53,617.53,0
17 Feb 1997,615.36,615.36,615.36,615.36,0
18 Feb 1997,614.38,614.38,614.38,614.38,0
19 Feb 1997,614.97,614.97,614.97,614.97,0
20 Feb 1997,617.57,617.57,617.57,617.57,0
24 Feb 1997,617.07,617.07,617.07,617.07,0
25 Feb 1997,618.07,618.07,618.07,618.07,0
26 Feb 1997,618.41,618.41,618.41,618.41,0
27 Feb 1997,619.61,619.61,619.61,619.61,0
28 Feb 1997,620.53,620.53,620.53,620.53,0
03 Mar 1997,621.33,621.33,621.33,621.33,0
04 Mar 1997,620.08,620.08,620.08,620.08,0
05 Mar 1997,622.83,622.83,622.83,622.83,0
06 Mar 1997,625.56,625.56,625.56,625.56,0
07 Mar 1997,628.6,628.6,628.6,628.6,0
10 Mar 1997,629.84,629.84,629.84,629.84,0
11 Mar 1997,634.47,634.47,634.47,634.47,0
12 Mar 1997,634.88,634.88,634.88,634.88,0
13 Mar 1997,637.22,637.22,637.22,637.22,0
14 Mar 1997,636.79,636.79,636.79,636.79,0
17 Mar 1997,633.45,633.45,633.45,633.45,0
18 Mar 1997,633.29,633.29,633.29,633.29,0
19 Mar 1997,633.0,633.0,633.0,633.0,0
20 Mar 1997,632.65,632.65,632.65,632.65,0
21 Mar 1997,633.33,633.33,633.33,633.33,0
24 Mar 1997,634.33,634.33,634.33,634.33,0
25 Mar 1997,636.63,636.63,636.63,636.63,0
26 Mar 1997,635.96,635.96,635.96,635.96,0
27 Mar 1997,636.87,636.87,636.87,636.87,0
31 Mar 1997,637.54,637.54,637.54,637.54,0
01 Apr 1997,638.35,638.35,638.35,638.35,0
02 Apr 1997,639.43,639.43,639.43,639.43,0
03 Apr 1997,640.7,640.7,640.7,640.7,0
04 Apr 1997,641.07,641.07,641.07,641.07,0
07 Apr 1997,641.88,641.88,641.88,641.88,0
08 Apr 1997,644.72,644.72,644.72,644.72,0
09 Apr 1997,648.39,648.39,648.39,648.39,0
10 Apr 1997,652.97,652.97,652.97,652.97,0
11 Apr 1997,665.92,665.92,665.92,665.92,0
16 Apr 1997,689.1,689.1,689.1,689.1,0
17 Apr 1997,706.86,706.86,706.86,706.86,0
18 Apr 1997,721.29,721.29,721.29,721.29,0
21 Apr 1997,747.77,747.77,747.77,747.77,0
23 Apr 1997,745.61,745.61,745.61,745.61,0
24 Apr 1997,730.32,730.32,730.32,730.32,0
25 Apr 1997,716.22,716.22,716.22,716.22,0
28 Apr 1997,717.92,717.92,717.92,717.92,0
29 Apr 1997,727.32,727.32,727.32,727.32,0
30 Apr 1997,739.58,739.58,739.58,739.58,0
02 May 1997,746.11,746.11,746.11,746.11,0
05 May 1997,746.42,746.42,746.42,746.42,0
06 May 1997,739.81,739.81,739.81,739.81,0
07 May 1997,734.2,734.2,734.2,734.2,0
08 May 1997,733.12,733.12,733.12,733.12,0
09 May 1997,731.14,731.14,731.14,731.14,0
12 May 1997,729.17,729.17,729.17,729.17,0
13 May 1997,726.75,726.75,726.75,726.75,0
14 May 1997,725.37,725.37,725.37,725.37,0
15 May 1997,727.86,727.86,727.86,727.86,0
16 May 1997,730.22,730.22,730.22,730.22,0
19 May 1997,729.45,729.45,729.45,729.45,0
20 May 1997,728.01,728.01,728.01,728.01,0
23 May 1997,727.32,727.32,727.32,727.32,0
26 May 1997,727.45,727.45,727.45,727.45,0
27 May 1997,726.81,726.81,726.81,726.81,0
28 May 1997,728.33,728.33,728.33,728.33,0
29 May 1997,728.82,728.82,728.82,728.82,0
30 May 1997,731.97,731.97,731.97,731.97,0
02 Jun 1997,731.75,731.75,731.75,731.75,0
03 Jun 1997,730.12,730.12,730.12,730.12,0
04 Jun 1997,728.51,728.51,728.51,728.51,0
05 Jun 1997,733.76,733.76,733.76,733.76,0
06 Jun 1997,739.31,739.31,739.31,739.31,0
09 Jun 1997,741.91,741.91,741.91,741.91,0
10 Jun 1997,747.16,747.16,747.16,747.16,0
11 Jun 1997,763.53,763.53,763.53,763.53,0
12 Jun 1997,773.57,773.57,773.57,773.57,0
13 Jun 1997,773.84,773.84,773.84,773.84,0
16 Jun 1997,771.82,771.82,771.82,771.82,0
17 Jun 1997,774.56,774.56,774.56,774.56,0
18 Jun 1997,776.64,776.64,776.64,776.64,0
19 Jun 1997,787.4,787.4,787.4,787.4,0
23 Jun 1997,795.97,795.97,795.97,795.97,0
24 Jun 1997,804.17,804.17,804.17,804.17,0
25 Jun 1997,806.16,806.16,806.16,806.16,0
26 Jun 1997,795.99,795.99,795.99,795.99,0
27 Jun 1997,793.28,793.28,793.28,793.28,0
30 Jun 1997,791.87,791.87,791.87,791.87,0
01 Jul 1997,798.54,798.54,798.54,798.54,0
02 Jul 1997,805.25,805.25,805.25,805.25,0
03 Jul 1997,810.78,810.78,810.78,810.78,0
04 Jul 1997,819.67,819.67,819.67,819.67,0
07 Jul 1997,828.16,828.16,828.16,828.16,0
08 Jul 1997,821.4,821.4,821.4,821.4,0
09 Jul 1997,816.72,816.72,816.72,816.72,0
10 Jul 1997,820.72,820.72,820.72,820.72,0
11 Jul 1997,823.39,823.39,823.39,823.39,0
14 Jul 1997,824.83,824.83,824.83,824.83,0
15 Jul 1997,821.88,821.88,821.88,821.88,0
16 Jul 1997,819.97,819.97,819.97,819.97,0
17 Jul 1997,817.54,817.54,817.54,817.54,0
21 Jul 1997,820.6,820.6,820.6,820.6,0
22 Jul 1997,827.2,827.2,827.2,827.2,0
23 Jul 1997,829.7,829.7,829.7,829.7,0
24 Jul 1997,839.23,839.23,839.23,839.23,0
25 Jul 1997,841.31,841.31,841.31,841.31,0
28 Jul 1997,844.15,844.15,844.15,844.15,0
29 Jul 1997,849.31,849.31,849.31,849.31,0
30 Jul 1997,860.12,860.12,860.12,860.12,0
31 Jul 1997,869.72,869.72,869.72,869.72,0
01 Aug 1997,865.79,865.79,865.79,865.79,0
04 Aug 1997,855.74,855.74,855.74,855.74,0
05 Aug 1997,862.47,862.47,862.47,862.47,0
06 Aug 1997,857.14,857.14,857.14,857.14,0
07 Aug 1997,856.48,856.48,856.48,856.48,0
08 Aug 1997,850.64,850.64,850.64,850.64,0
11 Aug 1997,851.79,851.79,851.79,851.79,0
12 Aug 1997,854.21,854.21,854.21,854.21,0
13 Aug 1997,850.72,850.72,850.72,850.72,0
14 Aug 1997,848.85,848.85,848.85,848.85,0
15 Aug 1997,848.79,848.79,848.79,848.79,0
19 Aug 1997,846.16,846.16,846.16,846.16,0
20 Aug 1997,838.48,838.48,838.48,838.48,0
21 Aug 1997,832.86,832.86,832.86,832.86,0
22 Aug 1997,830.42,830.42,830.42,830.42,0
25 Aug 1997,833.54,833.54,833.54,833.54,0
26 Aug 1997,840.02,840.02,840.02,840.02,0
27 Aug 1997,834.98,834.98,834.98,834.98,0
28 Aug 1997,825.25,825.25,825.25,825.25,0
29 Aug 1997,814.85,814.85,814.85,814.85,0
01 Sep 1997,814.92,814.92,814.92,814.92,0
02 Sep 1997,808.62,808.62,808.62,808.62,0
03 Sep 1997,793.78,793.78,793.78,793.78,0
04 Sep 1997,791.51,791.51,791.51,791.51,0
05 Sep 1997,801.61,801.61,801.61,801.61,0
08 Sep 1997,809.94,809.94,809.94,809.94,0
09 Sep 1997,802.69,802.69,802.69,802.69,0
10 Sep 1997,800.7,800.7,800.7,800.7,0
11 Sep 1997,796.63,796.63,796.63,796.63,0
12 Sep 1997,792.54,792.54,792.54,792.54,0
15 Sep 1997,786.07,786.07,786.07,786.07,0
17 Sep 1997,776.82,776.82,776.82,776.82,0
18 Sep 1997,782.6,782.6,782.6,782.6,0
19 Sep 1997,790.01,790.01,790.01,790.01,0
22 Sep 1997,793.24,793.24,793.24,793.24,0
23 Sep 1997,788.8,788.8,788.8,788.8,0
24 Sep 1997,787.61,787.61,787.61,787.61,0
25 Sep 1997,782.58,782.58,782.58,782.58,0
26 Sep 1997,782.61,782.61,782.61,782.61,0
29 Sep 1997,777.98,777.98,777.98,777.98,0
30 Sep 1997,779.86,779.86,779.86,779.86,0
01 Oct 1997,776.62,776.62,776.62,776.62,0
02 Oct 1997,775.61,775.61,775.61,775.61,0
03 Oct 1997,777.67,777.67,777.67,777.67,0
06 Oct 1997,777.0,777.0,777.0,777.0,0
07 Oct 1997,780.74,780.74,780.74,780.74,0
08 Oct 1997,781.03,781.03,781.03,781.03,0
